"text","orientacao"
"O governo disse que o ""alto"" valor da cirurgia geraria prejuízos aos cofres publicos. http://t.co/cg1wEO5H80","N"
"Prédio de Lula e vizinhança fazem panelaço aos gritos de ‘Fora ladrão!’ e 'Cadeia para o chefe'; v.. http://t.co/2h7o3UBGfv","R"
"Vou gastar a dilma que eu tenho só em porcaria","N"
"Com Aécio, Alckmin e Marina, crise no governo domina homenagem a Campos: Paula PachecoA situação política e ec... http://t.co/zMTCtw8XF1","N"
"""Eu botei mó Fé no Lula, veja só no que é que deu...""","R"
"Com Aécio, Alckmin e Marina, crise no governo domina homenagem a Campos: Paula PachecoA situação política e ec... http://t.co/b1ANHn9cOG","N"
"Com reforma política e maioridade, governo terá novo embate na Câmara... http://t.co/UQ5qHiRvPn","N"
"Temer vem aí | Alex Antunes - Yahoo Notícias&gt; Finge ajudar governo  coloca como unica salvacao abra o olho #DILMA","D"
"RN POLITICA EM DIA: TCU VOTARÁ CONTAS DE DILMA A PARTIR DO DIA 26. http://t.co/KSwnyjtLhp","N"
"Veja: TCU votará contas de Dilma a partir do dia 26 http://t.co/UpF0RsVbz8","R"
"Dilma recorre ao exterior para melhorar imagem do país http://t.co/w4YGYmK714","D"
"agenciaPT13: #NãoVaiTerGolpe | Renato Rabelo: Golpismo não passará.  ","D"
"agenciaPT13: Lava Jato estima recuperar R$ 1,2 bilhão em sonegação. http://t.co/5e49YeBapN","D"
"RT @cartamaior: 'Dilma critica vale-tudo na política e questiona 'qto pior melhor?';melhor p/ quem?'(site de O Globo após o cessar fogo dec…","D"
"Flávio Dino defende Dilma do ""golpe"", e presidente reage ao ""vale-tudo"" http://t.co/qYosYqoJsI","D"
"Yes!News - TCU votará contas de Dilma a partir do dia 26: Em nota, assessoria da Corte diz que... http://t.co/3z6fN1Xibk #noticias #news","R"
"Presidente da CPI do BNDES diz ser difícil Lula escapar de investigação | http://t.co/052ACX2btO http://t.co/kAM6kJP5tN","R"
"Hermes Magnus https://t.co/S65C2hPoH3 via @YouTubeEMPRESÁRIO QUE ORIGINOU LAVA JATO ENVOLVE LULA NA ""ENGENHARIA"" DO PETROLÃO.","R"
,
"Hermes Magnus http://t.co/rXyjyEtlY1 via @YouTubeEMPRESÁRIO QUE ORIGINOU LAVA JATO ENVOLVE LULA NA ""ENGENHARIA"" DO PETROLÃO.","R"
"""Não vai ter golpe!"": Dilma é ovacionada no Maranhão - Portal Fórum http://t.co/SHodKek2Sj","D"
"Em Busca do BetaLab# TCU votará contas de Dilma a partir do dia 26 http://t.co/ZXYonG5HW5 #Saga BetaLab","R"
"Movimento “Fora Dilma, Fora Tião” espera mais de 10 mil nas ruas no próximo domingo, 16 http://t.co/kiOZZIsut4","R"
"Dilma vai dialogar com todos os partidos para recompor a base - Portal Vermelho: http://t.co/Kyjtqi2rDk via @portalvermelho","D"
"@Johnny_Rock45 @FAXINANOPODER_ LULA E DIRCEU, SÃO IRMÃOS SIAMESES, 2º PROCURADORIA DA REPÚBLICA http://t.co/HiQnrMhW2o","R"
,
"ptbrasil: #NãoVaiTerGolpe | Renato Rabelo: Golpismo não passará.  ","D"
,
,
,
,
,
,
,
,
"ptbrasil: Lava Jato estima recuperar R$ 1,2 bilhão em sonegação. http://t.co/5e49YeBapN","D"
"Dilma fdp","R"
"SENADORA BASE GOVERNO ATACANDO CIDADANIA AO INVÉS APRESENTAR IDÉIAS E DISCURSO CONSTRUTIVO VEM SEMEAR CONFLITOS C TESE setores golpistas????","D"
"LULA A JATO! http://t.co/rlT2vTE0px via: @o_antagonista","R"
"""Kátia Abreu: Inocentes n podem pagar por infratores"". Concordo plenamente com esta senhora. Os pobres estão pagando pelos roubos do governo","R"
"Veja : TCU votará contas de Dilma a partir do dia 26: Em nota, assessoria da Corte diz que ""não há data fixa p... http://t.co/cKRQx9rM1Y","R"
"@flavent a máquina de propaganda negativa trabalha incansavelmente ... mas a verdade prevalecerá ao fim. Com Lula foi a mesma coisa.","D"
"TCU votará contas de Dilma a partir do dia 26 http://t.co/9aLrnqA0lx","N"
"Senadores do PT ameaçam dono da Globo: Não mexam com Lula! O Brasil pode pegar fogo! | http://t.co/uy5zZ5hS3V … http://t.co/faAREkjBoY","D"
"TCU votará contas de Dilma a partir do dia 26: Em nota, assessoria da Corte diz que ""não há data fixa para o p... http://t.co/1Ui3NDVw3a","R"
"@jeanwyllys_real @gduvivier Continua sendo um texto irresponsável, neste momento específico, a dias do 16 de agosto.","D"
,
"O vale-tudo de Dilma Rousseff deixou o Brasil sem dinheiro. Veja o resumo do caos http://t.co/lmtYIPi00x","R"
"TCU votará contas de Dilma a partir do dia 26: Em nota, assessoria da Corte diz que ""não há data fixa para o p... http://t.co/OQKzbdUfmb","N"
"Conscientização da população faz o golpismo da mídia burguesa se tornar um perigo para a própria direita!!","D"
,
"RT @ptnuncamais: Brasif Duty Free Shop tem que ser investigada. Essa empresa pode ser de Lula e estar em nome de laranjas.","R"
,
"RT @enfanaleao: QUEM HOJE TENTA DAR GOLPES JÁ QUEBROU O BRASIL #NoMeiodoCaminhoTemOpovo https://t.co/1HrWLP8PnG","D"
"RT @ThirzziaGC: @DepEduardoCunha Presidente, essa é a prova do que estamos reclamando há tempos: o uso político da Instituição AGU pelo gov…","R"
"TCU votará contas de Dilma a partir do dia 26: Em nota, assessoria da Corte diz que ""não há data fixa para o p... http://t.co/3ycENzd76f","R"
"TCU votará contas de Dilma a partir do dia 26: Em nota, assessoria da Corte diz que ""não há data fixa para o p... http://t.co/EoH67ZLPEL","R"
"RT @MBLivre: ""O Brasil precisa que as pessoas pensem primeiro nele"" diz Dilma.","R"
,
,
"Após derrota na Câmara, Dilma irá se reunir com líderes da base aliada... http://t.co/xDzNxWrnu9","N"
"RT @DiAntequera: @DepEduardoCunha AGU sendo usada a serviço do Governo! Advocacia Pública de Estado URGENTE!!!! #ListaTrípliceAGU #PEC82","R"
"@Alegessinger @dilmabr DILMA VAI COLHER  QUE PLANTOU FALTA  CARÁTER RCORRUPÇÃO  MENTIRAS   DINHEIRO PUBLICO EM CAMPANHA ESTELIONATO","R"
"RT @hsilva4023: ""Não vai ter golpe!"": Dilma é ovacionada no Maranhão - Portal Fórum http://t.co/SHodKek2Sj","D"
"@Val__Nilopolis Música de protesto https://t.co/V1bkFIgA7X","N"
"Debatedores esquerdistas precisam decidir: dizem; você sabe de tudo, e depois; você precisa estudar. #16deAgosto #VemPraRua","R"
"Dilma vai dialogar com todos os partidos para recompor a base - Portal Vermelho: http://t.co/mTL2e7BugA via @portalvermelho","D"
"EXTRA EXTRA - SERGIO MORO REVELA MAIS CORRUPÇÃO ... AGORA EM BELO MONTE!  NÃO TEM FIM. http://t.co/XrBIweGlKP via @Costaleudo","R"
"RT @carloscvlopes: @DepEduardoCunha Não permita que a AGU vire escritório de advocacia do governo. Resgate o papel constitucional da AGU. #…","R"
"RT @jao_snow: - O senhor confirma que fez doações de campanha para a Dilma Rousseff ?","R"
,
,
"TCU votará contas de Dilma a partir do dia 26 http://t.co/l3DCk61eAe","R"
"Via Folha Esporte: Protesto contra o governo no domingo obriga Rio-2016 a mudar evento-teste http://t.co/YdwHyv64EL","N"
"RT @ptsul: #Sartorices Sobre o Plano de governo do Sartori. Charge do Kayser no #PTsul http://t.co/67ed0MfIFT","D"
"@PTmilitancia @dilmabr @LulapeloBrasil @carmenrdias LULA E DIRCEU, SÃO IRMÃOS SIAMESES, 2º PROCURADORIA DA REPÚBLICA http://t.co/HiQnrMhW2o","R"
"@pamtomeoficial VEM PRA RUA FaceToFacePâmelaTomé","R"
"RT @patriotatambem: ""@allanldsantos:CONVOCAÇÃO:Tomemos as ruas no dia 16 de agosto!Amanhã, 11, tem Lobão e Olavo de Carvalho às 22h30!//","R"
,
"TCU votará contas de Dilma a partir do dia 26 http://t.co/gpKIODcT8I","R"
"RT @BlogDoPim: Desesperada, Dilma cobra de adversários o que seu governo nunca fez: pensar primeiro no Brasil http://t.co/tyxfu9WF57 http:/…","R"
"Governo e Congresso começam a debater agenda pós ajuste fiscal:  http://t.co/tufN8epPCy","N"
"Dar prioridade a impeachment é o mesmo que colocar fogo no país, diz Renan:                 BRASÍLIA (Reuters)... http://t.co/AOSxpUjmet","N"
"Acompanhei hj a palestra do juiz Sérgio Moro, em Porto Alegre. Segue aí um resumo do q ele falou: http://t.co/5FXhKYdt7Y @RdGuaibaOficial","N"
"Em São Luiz, multidão grita: “Não vai ter golpe!” e “Dilma guerreira da pátria brasileira” |... http://t.co/UqsQoxc9gQ","D"
"RT @bobjackk: @CheZeGuevara FHC recebeu de Itamar a 7ª economia do mundo e entregou a 12ª para Lula http://t.co/ekPdgnYHe3","D"
"RT @jwbranda: @tottustu @FAXINANOPODER_ @renatagarani LULA E DIRCEU, SÃO IRMÃOS SIAMESES, 2º PROCURADORIA DA REPÚBLICA http://t.co/HiQnrMhW…","R"
"RT @cartamaior: Dilma firma compromisso: dia 10 de setembro lança a 3ª fase do Minha Casa; mais 3 milhões de moradias  https://t.co/1OrNRtO…","D"
"Governo e Congresso começam a debater agenda pós ajuste fiscal:  http://t.co/AJ4FqdJi5L","N"
"RT @LeoCVilhena: @guimaraes13PT Líder Guimarães, a AGU é essencial ao desenvolvimento do Estado! Defenda-a em benefício de todos: sociedade…","D"
"Dar prioridade a impeachment é o mesmo que colocar fogo no país, diz Renan:                 BRASÍLIA (Reuters)... http://t.co/OulNNwrkCZ","N"
"RT @ariostocunhafl: Boa notícia para o povo do #Nordeste. Antes tarde do que nunca. #Lula #Dilma #Brasil","D"
,
"RT @Beat_n_think: ""Dilma é ovacionada no Maranhão""","D"
,
"RT @humbertoseadi: @DepEduardoCunha , a Câmara vai aceitar o subst. do governo, para melar todo o trabalho realizado pelos membros da AGU n…","R"
"Alckmin e Aécio dizem que não cabe à oposição buscar solução para a crise do governo  http://t.co/Ts03f2PG32 via @estadao","R"
"Larga o osso Dilma! http://t.co/sTXz0Iwjmk","R"
"Retrato fiel do desgoverno de Dilma https://t.co/yyAEOXMEfi","R"
"RT @Ezequiasns: SERIA O GOLPE 2015 ? DONO DA GLOBO ANSEIA POR ENCONTRO COM SENADORES PETISTAS E PREGA CONTINUIDADE DO GOVERNO DILMA  ","D"
,
"Hoje acontece o ciclo de palestras do Governo do Estado de SC. Estarei palestrando na @acicri em Criciúma a partir das 19 horas. ..","N"
"Só quero ver se os 2,8 mil que marcaram presença no evento vai ir no protesto","D"
"RT @moemaqd: @RubensBuenoPPS a pec 300 não precisa de companhia, mas a AGU precisa se tornar advocacia de Estado e não de Governo NÃO à inc…","R"
"O povo pediu para baixar a idade penal dos marginais, o governo entendeu que era para baixar a velocidade nas marginais.","R"
"RT @casa_dos_pobres: Não entendi.. se o Moro defende a publicidade da Lava-Jato porque arquivaram Aecio, e o Tarja Preta quem é? GA? @MPF_P…","D"
"Governo e Congresso começam a debater agenda pós ajuste fiscal:  http://t.co/rgFq85tuwf","N"
"Lula é citado por envolvidos na Lavo Jato e pai de Marcelo Odebrecht autoriza delação: vai citar... http://t.co/8zqALeYhQd","R"
"Dar prioridade a impeachment é o mesmo que colocar fogo no país, diz Renan:                 BRASÍLIA (Reuters)... http://t.co/bFbqafOxgc","D"
"RT @ClaraCamargoL: A semana: Dilma, Dirceu, Collor e o climão FDP https://t.co/Bi11TOiv2e","R"
"RT @BlogDoPim: Desesperada, Dilma cobra de adversários o que seu governo nunca fez: pensar primeiro no Brasil http://t.co/tyxfu9WF57 http:/…","R"
"RT @rafaelvolkovax: Suplicy discursa agora no  protesto na praça da Sé #ForaCunhaGolpista http://t.co/6MT8E1vk6r","D"
"RT @humbertoseadi: @DepEduardoCunha , viabilize a #pec443, não permita manobras do governo!","R"
"Dilma: estamos chegando a quase 4 milhões de moradias no Minha Casa, Minha Vida http://t.co/NXTETOAf1I http://t.co/Fu6rKkMFOj","D"
"@marisascruz Dizem que já estão preparando uma suite presidencial na superintendência da PF em Curitiba! #VemPraRUA http://t.co/1bnCffFfA5","R"
"RT @josetomazfilho: Ayres Britto (para quem ainda não leu): ""Dilma já não reúne nenhuma das três qualidades de um presidente”  http://t.co/…","R"
"FORA DILMA !","R"
"RT @IvamarLopes: EXTRA EXTRA - SERGIO MORO REVELA MAIS CORRUPÇÃO ... AGORA EM BELO MONTE!  NÃO TEM FIM. http://t.co/XrBIweGlKP via @Costale…","R"
"RT @BlogDoPim: O vale-tudo de Dilma deixou o Brasil sem dinheiro. Veja o resumo do caos: http://t.co/C9V34UQg1S #VemPraRua16Ago http://t.co…","R"
"TCU votará contas de Dilma a partir do dia 26: Em nota, assessoria da Corte diz que ""não há data fixa para o p... http://t.co/Hxh4svofpn","R"
"#personalizada1 Dar prioridade a impeachment é o mesmo que colocar fogo no país, diz Renan:                 BR... http://t.co/yXcXgPhzzV","D"
"RT @oConsciente: ptbrasil: Lava Jato estima recuperar R$ 1,2 bilhão em sonegação. http://t.co/5e49YeBapN","D"
"Dar prioridade a impeachment é o mesmo que colocar fogo no país, diz Renan: BRASÍLIA (Reuters) - O presidente ... http://t.co/gNRUBCLIQX","N"
"Dar prioridade a impeachment é o mesmo que colocar fogo no país, diz Renan http://t.co/9ID4mb9pGv","N"
"Para evitar impeachment, governo buscará manter mínimo de 200 deputados fieis: O Palácio do Planalto já se pre... http://t.co/bcmbom85KW","N"
"Para evitar impeachment, governo buscará manter mínimo de 200 deputados fieis: O Palácio do Planalto já se pre... http://t.co/gT3SVerzdF","N"
"Para evitar impeachment, governo buscará manter mínimo de 200 deputados fieis: O Palácio do Planalto já se pre... http://t.co/KK104S5KfI","N"
""" O fôro privilegiado de Lula e o ciúme de Dilma "".  Comento hoje no Repórter 98, às 18 h, na 98 FM.","N"
"Vo pedi pra ela comprar coisa pra eu leva pra comer da manifestação","R"
"plot twist: dilma é gravada chamando um negro de macaco","N"
"Segue o convite do Bolsonaro aos londrinenses para manifestação do dia 16/08!!!!!! http://t.co/8JNBRJvAuz","R"
"Wellington Dias comenta rompimento do PDT com o Governo Federal http://t.co/LUbV26UdOO","R"
"Porque temer a guerra , se a vida é uma batalha ?","N"
,
,
,
,
"Nem todos estão em crise: filho de Lula abre mais uma empresa | Implicante http://t.co/w3q5Zdjzvo","R"
"É golpe!","D"
"Aécio : ""Propaganda do PT zomba dos brasileiros"" http://t.co/uXMhNBnMiS","R"
"O mene do libertário que precisa de vale do governo pra comprar camisa no ""Vista Direita' pois caro.","N"
"TCU votará contas de Dilma a partir do dia 26 http://t.co/iueGoTFuJG","R"
,
,
,
,
,
,
,
"Morro de vergonha de ver pessoas compartilhando vídeos zoando a Dilma","D"
"CARTA RENÚNCIA DE DILMA JÁ ESTÁ PRONTA http://t.co/R6XFJAclT9","R"
"RT @dricamallmann: @DepEduardoCunha Adams faz advocacia de governo e não de estado. A rejeição dele deveria ser registrada no Guinness. #Fo…","R"
"Lula lá...Na lava jato... Questão de tempo... @SakaSakamori @Miranda50sonia @ZZdornellas @Ary_AntiPT @corruPTofobico https://t.co/EJdsb7u6gG","R"
,
,
,
"RT @jaqueswagner: O fortalecimento das instituições e dos mecanismos legais de combate à corrupção podem ser o principal legado de @dilmabr…","D"
"RT @DiariodoPoder: 'Dilma pode ser o quarto presidente brasileiro a renunciar' via @DiariodoPoder - http://t.co/sO2Pr5dkck http://t.co/mVUJ…","R"
"BLOG DO ALUIZIO AMORIM: EMPRESÁRIO QUE ORIGINOU LAVA JATO ENVOLVE LULA NA ... http://t.co/PyxM2XYkh6","R"
"RT @MCCdoBrasil: 500 anos de Brasil PIB US$ 534 bi em 1994, caiu p US$ 504 bi, qndo FHC saiu. 2014 US$ 2 tri, 346 bi. Dica @turquim5 ","D"
,
"Governo e Congresso começam a debater agenda pós ajuste fiscal: O ministro Joaquim Levy (Fazenda) discutiu com... http://t.co/oRu4Mcyyeh","N"
"BLOG DO ALUIZIO AMORIM: EMPRESÁRIO QUE ORIGINOU LAVA JATO ENVOLVE LULA NA ... http://t.co/M23N8DtHci","R"
"RT @suelyrocha: Olha outra lesa. Só falam bobagens. O único inocente que está pagando é o povo. #foracorruptos  https://t.co/l5IqnDVRbL","R"
"RT @jprillo: Eles denunciaram benefícios concedidos pelo governo paulista a frigoríficos devedores do Estado. São cerca de R$ 2 bi em débit…","N"
"Prefeitura anuncia mudanças em evento-teste por causa de protesto marcado para domingo: RIO — O evento-teste d... http://t.co/5y44u2EsLm","N"
"Governo e Congresso começam a debater agenda pós ajuste fiscal http://t.co/P8tBet61Ov","N"
"RT @RadiodoMoreno: Cunha rompeu com governo, MPF, com o regimento e, agora, com AGU. Rompe com todos que o contrariam. Daqui a pouco, rompe…","D"
"RT @RealKajuru: Felizmente terminei toda uma investigação escandalosa. Entendi o golpe de GANGSTER e concluí a entrevista c/ @CarneiroMPCGO","N"
"Governo federal libera R$ 12,3 milhões para 36 municípios http://t.co/WVSjtJDq0m","D"
"A semana: Dilma, Dirceu, Collor e o climão FDP https://t.co/Bi11TOiv2e","R"
"Prefeitura anuncia mudanças em evento-teste por causa de protesto marcado para domingo: RIO — O evento-teste d... http://t.co/JUXo2ie3lX","N"
"Prefeitura anuncia mudanças em evento-teste por causa de protesto marcado para domingo: RIO — O evento-teste de ciclismo de estrada, ...","N"
"NO ""VALE-TUDO"" DILMA ROUSSEFF; VOCÊS FALIRAM O BRASIL ROUBANDO E DESVIANDO NOSSOS IMPOSTOS PELOS SEUS IDEAIS... http://t.co/Y8qZfsvVZd","R"
"Prefeitura anuncia mudanças em evento-teste por causa de protesto marcado para domingo: RIO — O evento-teste d... http://t.co/xEvzASEcc4","N"
"[FOLHA S.PAULO. BRA] Governo e Congresso começam a debater agenda pós ajuste fiscal: O ministro J... http://t.co/kIgDp4y9Tg vía J.A.M.V","N"
"Governo e Congresso começam a debater agenda pós ajuste fiscal: O ministro Joaquim Levy (Fazenda) dis... http://t.co/FQLJQnYO4o #TimBeta","N"
"O Globo (BR) Prefeitura anuncia mudanças em evento-teste por causa de protesto marcado para domingo http://t.co/5ZY6dNM97d @JornalOGlobo #BR","N"
"Governo e Congresso começam a debater agenda pós ajuste fiscal: O ministro Joaquim Levy (Fazenda) discutiu com... http://t.co/kUMQRArB1y","N"
"RT @pradojee: @_LuanneMendes golpe baaaaaixoo kkkkkkkkkkkkkkkk","N"
"RT @BlogDoPim: Desesperada, Dilma cobra de adversários o que seu governo nunca fez: pensar primeiro no Brasil http://t.co/tyxfu9WF57 http:/…","R"
"Prefeitura anuncia mudanças em evento-teste por causa de protesto marcado para domingo: RIO — O evento-teste d... http://t.co/DXN5KVqIf5","N"
"Governo e Congresso começam a debater agenda pós ajuste fiscal: O ministro Joaquim Levy (Fazenda) discutiu com... http://t.co/IS5VfjsMEb","N"
"RT @mceciliatav: @Ary_AntiPT","R"
,
"Governo e Congresso começam a debater agenda pós ajuste fiscal: O ministro Joaquim Levy (Fazenda) discutiu com... http://t.co/z7357xyCRI","N"
"Governo e Congresso começam a debater agenda pós ajuste fiscal: O ministro Joaquim Levy (Fazenda) discutiu com... http://t.co/OS7dGi3rVB","N"
"RT @MatheusSchuch: Protesto de torcedores colorados em frente ao CT Parque Gigante, Brigada Militar foi chamada. O @realsergioboaz acompanh…","N"
"@evandromesquita Música de protesto https://t.co/V1bkFIgA7X","N"
"RT @TrolhaDSaoPaulo: Claudio Humberto garante que Dilma já redigiu carta de renúncia; Caiado diz que filmou esse momento, mas não postou po…","R"
"Governo e Congresso começam a debater agenda pós ajuste fiscal: O ministro Joaquim Levy (Fazenda) discutiu com... http://t.co/LaxPUWCl6G","N"
"Governo e Congresso começam a debater agenda pós ajuste fiscal: O ministro Joaquim Levy (Fazenda) discutiu com... http://t.co/5iskaIxUrV","N"
"RT @cesprogis: Infelizmente a mocréia não tem essa dignidade toda pra renunciar https://t.co/98lyc7Y8sJ","R"
"RT @joaopaulo_pt: É amanhã. Marcha das Margaridas terá 70 mil mulheres com Dilma, em Brasília. http://t.co/Tm19UvaanE","D"
"E graças ao LULA 13 e à DILMA 13, cumpre-se a profecia do Antonio Conselheiro, o sertão vai virar mar. https://t.co/NvsmqIg5A3","R"
"RT @cynaramenezes: ""o PSDB foi criado para ser um PMDB 'mais puro', mas teve muito mais corrupção no governo do PSDB do que no do sarney"" (…","D"
"RT @cartamaior: Marcha das Margaridas: 70 mil vão Brasília. Acredite, Dilma, sua chance está aqui; mais que na trégua da Globo https://t.co…","D"
"""Caberá ao governo, não à oposição, superar a crise que ele próprio criou"" http://t.co/vdEyJWfiUw","R"
"RT @SenadorCaiado: Em Gramado, no 2º Seminário 'A Voz do Campo'. Sempre bom falar para quem representa único setor que ainda resiste à cris…","R"
"RT @Bonifacioooooo: Povo tudo de Iphone 6,é o governo que ta dando? 😂 @bvenancio_","D"
"Gostei de um vídeo @YouTube http://t.co/tFGlQ2rpfR Jair Bolsonaro Para Presidente 2018 Fora Dilma","R"
"[Como é?!] 'US$ 31 milhões em propina para o @PMDB_Nacional'? http://t.co/hZfiYC380M via @o_antagonista #LavaJato","R"
"RT @AldoNunes57: Flávio Dino defende Dilma do ""golpe"", e presidente reage ao ""vale-tudo"" http://t.co/aBTuIARVtT","D"
"RT @UchoInfo: Vendas do Dia dos Pais têm o pior resultado dos últimos seis anos e confirma crise que Dilma ignora http://t.co/JgADPZ6mNq @u…","R"
"RT @jwbranda: @anamaria_ps @tottustu @eduflobo73 @Costaleudo LULA E DIRCEU, SÃO IRMÃOS SIAMESES, 2º PROCURADORIA DA REPÚBLICA http://t.co/H…","R"
"RT @EsquerdaValente: Líder do governo: Dilma e Temer “estão integrados”:  http://t.co/nADMkOBqTC","D"
"Não é dever da oposição apontar saída para a crise, avaliam Alckmin e Aécio http://t.co/7eiUnPflo2","R"
"RT @ptbrasil: Mais uma vez, MP quer engavetar denúncias contra Aécio Neves em Minas. ","D"
,
"Para evitar impeachment, governo buscará manter mínimo de 200 deputados fieis | Repórter Coragem http://t.co/mqihbVuKVT","N"
"Dilma mentiu para a população, afirma Ciro Gomes","R"
,
"Não é dever da oposição apontar saída para a crise, avaliam Alckmin e Aécio http://t.co/pCNmHR6oxi","R"
"CPI do BNDES: Lula é alvo de três pedidos de convocação para prestar depoimento na comissão.","R"
,
"RT @AJD_RJ: Dilma: a tragédia e a farsa - http://t.co/lcyfms6A8F","N"
"RT @PortalNoArBR: Movimentos convocam natalenses para “Fora Dilma” no dia 16 de agosto http://t.co/V8jdfLN5IE via @PortalNoArBR","R"
"RT @demetera2: VÍDEO - Entrega de casas no Maranhão e o apoio a DILMA : http://t.co/w5haLqYNfj @CheZeGuevara @turquim5 @RodP13 @midiacrucis…","N"
"@M_Caleiro sai de lá perguntando se ele tinha ficado rico como é na base d experiência em dar golpe em quem trabalha ou foi produzindo algo.","N"
"Alguém tem que ensinar pra mulher sapiens que impeachment faz parte da democracia. #16deAgosto #VemPraRua","R"
"RT @MBLivre: ""O Brasil precisa que as pessoas pensem primeiro nele"" diz Dilma.","R"
,
,
"Moro diz que Lava Jato não pode ser um ‘soluço’ http://t.co/0VWdtUelWj via @estadao","R"
"Governo Dilma se distancia cada vez mais da verdade, afirma @AecioNeves http://t.co/YPqNbK4WOC http://t.co/KefGLGJCXW","R"
"Governo Dilma se distancia cada vez mais da verdade, afirma @AecioNeves http://t.co/ErRpENCknq http://t.co/ySD1w0RhoK","R"
"Moro diz que Lava Jato não pode ser um ‘soluço’ http://t.co/P0SUhPQjNS via @estadao","N"
"Dilma disse que não é saudável o clima de ""vale-tudo"". So o PT está autorizado a apelar pro vale-tudo.","R"
"RT @exame_com: Ex-diretor da Petrobras, Jorge Zelada, é réu na Lava Jato &gt; http://t.co/FVNJNMiaEr http://t.co/j4biemdtSA","N"
"RT @TrolhaDSaoPaulo: Claudio Humberto garante que Dilma já redigiu carta de renúncia; Caiado diz que filmou esse momento, mas não postou po…","D"
"#Cruzeiro Em meio à crise política, cartolas vão a Brasília agradecer Dilma http://t.co/RbJWQEcjih",
"O tom tá mudando. Sai Dilma, entra Cunha (e o Legislativo) na Berlinda, novamente. ",
,
"Já prevejo comentários ao meu respeito hj na célula #sintamaindireta",
